ID_transcript	ID_gene	Max_median_expression
ENST00000373020.8	ENSG00000000003.14	47.1
ENST00000494424.1	ENSG00000000003.14	17.97
ENST00000496771.5	ENSG00000000003.14	22.57
ENST00000612152.4	ENSG00000000003.14	3.51
ENST00000614008.4	ENSG00000000003.14	48.55
ENST00000373031.4	ENSG00000000005.5	11.61
ENST00000485971.1	ENSG00000000005.5	3.44
ENST00000371582.8	ENSG00000000419.12	2.97
ENST00000371584.8	ENSG00000000419.12	1.88
ENST00000371588.9	ENSG00000000419.12	37.1
ENST00000413082.1	ENSG00000000419.12	0.0
ENST00000466152.5	ENSG00000000419.12	4.75
ENST00000494752.1	ENSG00000000419.12	0.31
ENST00000367770.5	ENSG00000000457.13	3.74
ENST00000367771.10	ENSG00000000457.13	2.46
ENST00000367772.8	ENSG00000000457.13	2.5999999999999996
ENST00000423670.1	ENSG00000000457.13	0.57
ENST00000470238.1	ENSG00000000457.13	1.03
ENST00000286031.10	ENSG00000000460.16	0.16
ENST00000359326.8	ENSG00000000460.16	1.47
ENST00000413811.3	ENSG00000000460.16	4.93
ENST00000459772.5	ENSG00000000460.16	4.39
ENST00000466580.6	ENSG00000000460.16	0.0
ENST00000472795.5	ENSG00000000460.16	0.07
ENST00000481744.5	ENSG00000000460.16	0.24
ENST00000496973.5	ENSG00000000460.16	1.62
ENST00000498289.5	ENSG00000000460.16	0.11
ENST00000374003.7	ENSG00000000938.12	1.75
ENST00000374004.5	ENSG00000000938.12	69.37
ENST00000374005.7	ENSG00000000938.12	78.54
ENST00000399173.5	ENSG00000000938.12	31.15
ENST00000457296.5	ENSG00000000938.12	0.0
ENST00000468038.1	ENSG00000000938.12	1.46
ENST00000475472.5	ENSG00000000938.12	27.04
ENST00000359637.2	ENSG00000000971.15	41.69
ENST00000367429.8	ENSG00000000971.15	174.64999999999998
ENST00000466229.5	ENSG00000000971.15	30.1
ENST00000470918.1	ENSG00000000971.15	13.885
ENST00000496761.1	ENSG00000000971.15	4.245
ENST00000630130.2	ENSG00000000971.15	92.02
ENST00000002165.10	ENSG00000001036.13	33.715
ENST00000367585.1	ENSG00000001036.13	1.36
ENST00000451668.1	ENSG00000001036.13	2.97
ENST00000229416.10	ENSG00000001084.10	19.46
ENST00000504353.1	ENSG00000001084.10	1.91
ENST00000504525.1	ENSG00000001084.10	0.12
ENST00000505197.1	ENSG00000001084.10	0.0
ENST00000505294.5	ENSG00000001084.10	0.49
ENST00000509541.5	ENSG00000001084.10	6.63
ENST00000510837.5	ENSG00000001084.10	3.95
ENST00000513939.5	ENSG00000001084.10	0.0
ENST00000514004.5	ENSG00000001084.10	0.92
ENST00000514373.2	ENSG00000001084.10	0.89
ENST00000514933.1	ENSG00000001084.10	0.15
ENST00000515580.1	ENSG00000001084.10	2.0
ENST00000616923.4	ENSG00000001084.10	0.0
ENST00000341376.10	ENSG00000001167.14	27.12
ENST00000353205.5	ENSG00000001167.14	15.52
ENST00000003583.12	ENSG00000001460.17	10.45
ENST00000337248.8	ENSG00000001460.17	19.28
ENST00000374409.5	ENSG00000001460.17	2.66
ENST00000435187.1	ENSG00000001460.17	0.18
ENST00000438866.1	ENSG00000001460.17	0.18
ENST00000468303.5	ENSG00000001460.17	0.78
ENST00000475760.1	ENSG00000001460.17	1.38
ENST00000483261.1	ENSG00000001460.17	0.58
ENST00000483528.1	ENSG00000001460.17	0.82
ENST00000492753.1	ENSG00000001460.17	0.0
ENST00000497384.1	ENSG00000001460.17	0.35
ENST00000498488.5	ENSG00000001460.17	0.31
ENST00000003912.7	ENSG00000001461.16	21.22
ENST00000339255.2	ENSG00000001461.16	4.51
ENST00000358028.8	ENSG00000001461.16	0.83
ENST00000374399.8	ENSG00000001461.16	0.775
ENST00000432012.1	ENSG00000001461.16	2.44
ENST00000475663.2	ENSG00000001461.16	0.39
ENST00000488155.1	ENSG00000001461.16	0.35
ENST00000374804.9	ENSG00000001497.16	3.7
ENST00000374807.9	ENSG00000001497.16	16.02
ENST00000374811.7	ENSG00000001497.16	24.7
ENST00000469091.1	ENSG00000001497.16	13.37
ENST00000484069.1	ENSG00000001497.16	13.37
ENST00000321037.4	ENSG00000001561.6	15.26
ENST00000002829.7	ENSG00000001617.11	14.18
ENST00000413852.5	ENSG00000001617.11	33.16
ENST00000414301.5	ENSG00000001617.11	2.34
ENST00000420831.1	ENSG00000001617.11	0.0
ENST00000426511.5	ENSG00000001617.11	0.52
ENST00000434342.5	ENSG00000001617.11	1.065
ENST00000450338.5	ENSG00000001617.11	1.5
ENST00000470737.1	ENSG00000001617.11	3.09
ENST00000493743.1	ENSG00000001617.11	1.3050000000000002
ENST00000003084.10	ENSG00000001626.14	42.845
ENST00000426809.5	ENSG00000001626.14	0.0
ENST00000429014.1	ENSG00000001626.14	0.6
ENST00000446805.1	ENSG00000001626.14	0.64
ENST00000468795.1	ENSG00000001626.14	2.7699999999999996
ENST00000472848.1	ENSG00000001626.14	0.0
ENST00000546407.1	ENSG00000001626.14	0.57
ENST00000600166.1	ENSG00000001626.14	0.16
ENST00000608965.5	ENSG00000001626.14	0.05
ENST00000610149.1	ENSG00000001626.14	0.0
ENST00000621535.1	ENSG00000001626.14	2.67
ENST00000265742.7	ENSG00000001629.9	14.01
ENST00000413588.1	ENSG00000001629.9	0.44
ENST00000422095.1	ENSG00000001629.9	2.26
ENST00000439883.1	ENSG00000001629.9	0.18
ENST00000442183.1	ENSG00000001629.9	0.0
ENST00000465883.1	ENSG00000001629.9	2.5
ENST00000486698.1	ENSG00000001629.9	4.23
ENST00000003100.12	ENSG00000001630.15	41.96
ENST00000422867.1	ENSG00000001630.15	6.27
ENST00000435873.1	ENSG00000001630.15	3.38
ENST00000450723.5	ENSG00000001630.15	25.91
ENST00000482924.1	ENSG00000001630.15	1.3
ENST00000340022.6	ENSG00000001631.15	2.93
ENST00000394503.6	ENSG00000001631.15	1.29
ENST00000394505.6	ENSG00000001631.15	4.15
ENST00000394507.5	ENSG00000001631.15	3.17
ENST00000412043.6	ENSG00000001631.15	0.0
ENST00000413688.5	ENSG00000001631.15	0.0
ENST00000422347.5	ENSG00000001631.15	0.25
ENST00000425073.1	ENSG00000001631.15	0.0
ENST00000425919.5	ENSG00000001631.15	0.0
ENST00000430102.5	ENSG00000001631.15	0.4
ENST00000433016.5	ENSG00000001631.15	1.72
ENST00000440209.5	ENSG00000001631.15	0.94
ENST00000444960.5	ENSG00000001631.15	0.45
ENST00000445516.1	ENSG00000001631.15	0.82
ENST00000452773.5	ENSG00000001631.15	0.7
ENST00000454017.5	ENSG00000001631.15	0.0
ENST00000458177.5	ENSG00000001631.15	0.0
ENST00000458493.5	ENSG00000001631.15	0.49
ENST00000466166.1	ENSG00000001631.15	0.0
ENST00000470309.5	ENSG00000001631.15	0.64
ENST00000475770.5	ENSG00000001631.15	10.18
ENST00000486261.5	ENSG00000001631.15	2.68
ENST00000487168.1	ENSG00000001631.15	4.66
ENST00000489087.1	ENSG00000001631.15	0.0
ENST00000228345.9	ENSG00000002016.17	1.74
ENST00000358495.7	ENSG00000002016.17	6.37
ENST00000397230.6	ENSG00000002016.17	0.15
ENST00000430095.6	ENSG00000002016.17	0.48
ENST00000461568.5	ENSG00000002016.17	0.37
ENST00000463750.5	ENSG00000002016.17	1.08
ENST00000468231.5	ENSG00000002016.17	0.24
ENST00000481052.5	ENSG00000002016.17	1.69
ENST00000488642.6	ENSG00000002016.17	2.62
ENST00000535376.5	ENSG00000002016.17	0.4
ENST00000536177.5	ENSG00000002016.17	0.84
ENST00000541619.1	ENSG00000002016.17	0.22
ENST00000542297.1	ENSG00000002016.17	8.04
ENST00000542584.5	ENSG00000002016.17	0.0
ENST00000542785.5	ENSG00000002016.17	0.65
ENST00000543912.5	ENSG00000002016.17	0.0
ENST00000544742.5	ENSG00000002016.17	0.16
ENST00000545564.5	ENSG00000002016.17	0.0
ENST00000545967.1	ENSG00000002016.17	0.0
ENST00000425880.1	ENSG00000002079.13	0.0
ENST00000429079.1	ENSG00000002079.13	0.0
ENST00000439784.6	ENSG00000002079.13	0.3
ENST00000452010.2	ENSG00000002079.13	3.03
ENST00000453194.2	ENSG00000002079.13	0.07
ENST00000309032.7	ENSG00000002330.13	80.04
ENST00000394531.3	ENSG00000002330.13	2.34
ENST00000394532.7	ENSG00000002330.13	6.32
ENST00000492141.1	ENSG00000002330.13	1.02
ENST00000493798.1	ENSG00000002330.13	0.66
ENST00000544271.1	ENSG00000002330.13	5.02
ENST00000544785.1	ENSG00000002330.13	0.21
ENST00000226299.8	ENSG00000002549.12	0.87
ENST00000503467.1	ENSG00000002549.12	9.32
ENST00000504614.5	ENSG00000002549.12	0.0
ENST00000507960.1	ENSG00000002549.12	0.0
ENST00000508014.5	ENSG00000002549.12	1.19
ENST00000508497.5	ENSG00000002549.12	1.15
ENST00000509583.1	ENSG00000002549.12	2.1
ENST00000512397.1	ENSG00000002549.12	2.43
ENST00000513105.1	ENSG00000002549.12	0.0
ENST00000606142.5	ENSG00000002549.12	60.879999999999995
ENST00000618908.4	ENSG00000002549.12	16.0
ENST00000381177.6	ENSG00000002586.18	7.36
ENST00000381180.8	ENSG00000002586.18	0.5
ENST00000381184.6	ENSG00000002586.18	13.08
ENST00000381187.8	ENSG00000002586.18	44.16
ENST00000381192.8	ENSG00000002586.18	349.5
ENST00000449611.6	ENSG00000002586.18	4.890000000000001
ENST00000482293.6	ENSG00000002586.18	0.84
ENST00000482405.7	ENSG00000002586.18	11.24
ENST00000497752.6	ENSG00000002586.18	4.54
ENST00000611428.5	ENSG00000002586.18	0.75
ENST00000623253.4	ENSG00000002586.18	0.99
ENST00000624481.4	ENSG00000002586.18	62.88
ENST00000381177.6_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000381180.8_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000381184.6_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000381187.8_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000381192.8_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000449611.6_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000482293.6_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000482405.7_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000497752.6_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000611428.5_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000623253.4_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000624481.4_PAR_Y	ENSG00000002586.18_PAR_Y	0.0
ENST00000002596.5	ENSG00000002587.9	15.77
ENST00000510712.1	ENSG00000002587.9	9.92
ENST00000514690.5	ENSG00000002587.9	1.105
ENST00000360937.8	ENSG00000002726.20	36.87
ENST00000416793.6	ENSG00000002726.20	3.83
ENST00000460213.1	ENSG00000002726.20	0.0
ENST00000467291.5	ENSG00000002726.20	0.245
ENST00000480582.1	ENSG00000002726.20	3.09
ENST00000483043.1	ENSG00000002726.20	0.1
ENST00000493429.5	ENSG00000002726.20	1.25
ENST00000222462.2	ENSG00000002745.12	2.72
ENST00000361301.6	ENSG00000002745.12	0.29
ENST00000395891.6	ENSG00000002746.14	1.37
ENST00000429529.1	ENSG00000002746.14	0.0
ENST00000453890.5	ENSG00000002746.14	0.81
ENST00000461842.1	ENSG00000002746.14	0.19
ENST00000464944.1	ENSG00000002746.14	0.21
ENST00000471043.1	ENSG00000002746.14	0.15
ENST00000471527.1	ENSG00000002746.14	5.84
ENST00000481031.5	ENSG00000002746.14	0.63
ENST00000490954.2	ENSG00000002746.14	0.0
ENST00000492310.5	ENSG00000002746.14	0.05
ENST00000493057.1	ENSG00000002746.14	0.98
ENST00000265854.11	ENSG00000002822.15	0.32
ENST00000399654.6	ENSG00000002822.15	12.04
ENST00000402746.5	ENSG00000002822.15	0.56
ENST00000406869.5	ENSG00000002822.15	0.61
ENST00000421113.5	ENSG00000002822.15	0.0
ENST00000429625.5	ENSG00000002822.15	0.0
ENST00000429779.1	ENSG00000002822.15	0.0
ENST00000437877.1	ENSG00000002822.15	7.07
ENST00000438959.5	ENSG00000002822.15	0.19
ENST00000444373.6	ENSG00000002822.15	0.0
ENST00000445959.5	ENSG00000002822.15	0.0
ENST00000450235.5	ENSG00000002822.15	4.34
ENST00000455998.5	ENSG00000002822.15	0.41
ENST00000459731.1	ENSG00000002822.15	0.66
ENST00000464742.5	ENSG00000002822.15	0.25
ENST00000468372.5	ENSG00000002822.15	57.19
ENST00000469871.1	ENSG00000002822.15	0.0
ENST00000477172.1	ENSG00000002822.15	12.56
ENST00000481633.1	ENSG00000002822.15	0.0
ENST00000483165.5	ENSG00000002822.15	0.0
ENST00000486340.5	ENSG00000002822.15	0.61
ENST00000491858.5	ENSG00000002822.15	0.14
ENST00000496548.1	ENSG00000002822.15	0.0
ENST00000318008.10	ENSG00000002834.17	59.43
ENST00000419929.1	ENSG00000002834.17	16.06
ENST00000433206.6	ENSG00000002834.17	0.62
ENST00000435347.7	ENSG00000002834.17	16.58
ENST00000443937.7	ENSG00000002834.17	0.21
ENST00000579123.1	ENSG00000002834.17	1.63
ENST00000581485.1	ENSG00000002834.17	0.17
ENST00000584106.1	ENSG00000002834.17	0.47
ENST00000585841.5	ENSG00000002834.17	0.0
ENST00000359238.6	ENSG00000002919.14	17.81
ENST00000393405.6	ENSG00000002919.14	5.2
ENST00000452859.6	ENSG00000002919.14	0.0
ENST00000577310.1	ENSG00000002919.14	0.41
ENST00000578861.5	ENSG00000002919.14	0.0
ENST00000580219.5	ENSG00000002919.14	0.33
ENST00000580875.1	ENSG00000002919.14	1.32
ENST00000581298.5	ENSG00000002919.14	0.0
ENST00000581705.5	ENSG00000002919.14	0.0
ENST00000582104.5	ENSG00000002919.14	1.08
ENST00000582481.1	ENSG00000002919.14	0.0
ENST00000583320.5	ENSG00000002919.14	0.0
ENST00000584335.5	ENSG00000002919.14	0.0
ENST00000004103.7	ENSG00000002933.7	262.85
ENST00000461345.5	ENSG00000002933.7	2.92
ENST00000462826.1	ENSG00000002933.7	9.43
ENST00000468689.1	ENSG00000002933.7	1.145
ENST00000474166.1	ENSG00000002933.7	4.29
ENST00000475007.5	ENSG00000002933.7	12.405000000000001
ENST00000475536.5	ENSG00000002933.7	63.790000000000006
ENST00000475710.1	ENSG00000002933.7	3.065
ENST00000481305.1	ENSG00000002933.7	5.68
ENST00000484928.5	ENSG00000002933.7	80.89
ENST00000494349.5	ENSG00000002933.7	15.765
ENST00000000412.7	ENSG00000003056.7	39.97
ENST00000536844.5	ENSG00000003056.7	3.54
ENST00000537621.1	ENSG00000003056.7	15.7
ENST00000539143.5	ENSG00000003056.7	7.03
ENST00000540837.1	ENSG00000003056.7	1.84
ENST00000541507.5	ENSG00000003056.7	33.83
ENST00000543159.1	ENSG00000003056.7	3.98
ENST00000543258.1	ENSG00000003056.7	0.98
ENST00000543704.5	ENSG00000003056.7	0.0
ENST00000543834.1	ENSG00000003056.7	2.935
ENST00000543845.1	ENSG00000003056.7	0.16
ENST00000544193.1	ENSG00000003056.7	1.33
ENST00000544245.1	ENSG00000003056.7	1.12
ENST00000262820.7	ENSG00000003096.14	0.11
ENST00000371876.5	ENSG00000003096.14	0.225
ENST00000371878.5	ENSG00000003096.14	0.0
ENST00000371882.5	ENSG00000003096.14	16.05
ENST00000453826.1	ENSG00000003096.14	0.0
ENST00000469946.5	ENSG00000003096.14	0.0
ENST00000540167.5	ENSG00000003096.14	0.84
ENST00000541812.5	ENSG00000003096.14	4.445
ENST00000545703.5	ENSG00000003096.14	0.0
ENST00000001146.6	ENSG00000003137.8	9.35
ENST00000412253.1	ENSG00000003137.8	1.06
ENST00000461519.1	ENSG00000003137.8	3.51
ENST00000474509.1	ENSG00000003137.8	0.0
ENST00000546307.5	ENSG00000003137.8	6.42
ENST00000265577.11	ENSG00000003147.17	3.17
ENST00000317367.9	ENSG00000003147.17	0.0
ENST00000339809.10	ENSG00000003147.17	9.97
ENST00000396675.7	ENSG00000003147.17	1.78
ENST00000401396.5	ENSG00000003147.17	14.02
ENST00000402384.7	ENSG00000003147.17	6.24
ENST00000406470.6	ENSG00000003147.17	8.2
ENST00000407906.5	ENSG00000003147.17	0.86
ENST00000422063.6	ENSG00000003147.17	2.75
ENST00000430867.5	ENSG00000003147.17	1.19
ENST00000446305.1	ENSG00000003147.17	3.9
ENST00000447326.5	ENSG00000003147.17	4.6
ENST00000455539.5	ENSG00000003147.17	20.69
ENST00000457755.5	ENSG00000003147.17	0.0
ENST00000470696.1	ENSG00000003147.17	8.66
ENST00000476942.1	ENSG00000003147.17	0.0
ENST00000486677.1	ENSG00000003147.17	9.85
ENST00000490041.1	ENSG00000003147.17	5.62
ENST00000002501.10	ENSG00000003249.13	26.72
ENST00000304733.7	ENSG00000003249.13	0.0
ENST00000392973.7	ENSG00000003249.13	0.17
ENST00000568330.2	ENSG00000003249.13	0.0
ENST00000568662.1	ENSG00000003249.13	0.15
ENST00000568838.1	ENSG00000003249.13	0.6
ENST00000623401.1	ENSG00000003249.13	0.72
ENST00000264276.10	ENSG00000003393.14	9.98
ENST00000409632.6	ENSG00000003393.14	0.0
ENST00000410052.1	ENSG00000003393.14	0.0
ENST00000439495.5	ENSG00000003393.14	0.2
ENST00000462747.1	ENSG00000003393.14	0.36
ENST00000467448.5	ENSG00000003393.14	2.21
ENST00000482789.5	ENSG00000003393.14	0.33
ENST00000482891.5	ENSG00000003393.14	0.29
ENST00000483703.1	ENSG00000003393.14	0.0
ENST00000489440.5	ENSG00000003393.14	0.0
ENST00000494017.5	ENSG00000003393.14	0.0
ENST00000496244.5	ENSG00000003393.14	0.0
ENST00000272879.9	ENSG00000003400.14	0.37
ENST00000286186.10	ENSG00000003400.14	7.88
ENST00000313728.11	ENSG00000003400.14	0.0
ENST00000346817.9	ENSG00000003400.14	4.95
ENST00000360132.7	ENSG00000003400.14	5.25
ENST00000374650.7	ENSG00000003400.14	1.78
ENST00000438843.5	ENSG00000003400.14	0.0
ENST00000448480.1	ENSG00000003400.14	0.0
ENST00000460140.5	ENSG00000003400.14	0.55
ENST00000471191.1	ENSG00000003400.14	0.3
ENST00000484926.1	ENSG00000003400.14	0.0
ENST00000485408.1	ENSG00000003400.14	0.35
ENST00000492363.5	ENSG00000003400.14	0.0
ENST00000309955.7	ENSG00000003402.19	29.095
ENST00000340870.6	ENSG00000003402.19	0.0
ENST00000341222.10	ENSG00000003402.19	15.0
ENST00000341582.10	ENSG00000003402.19	0.87
ENST00000342795.9	ENSG00000003402.19	3.05
ENST00000395148.6	ENSG00000003402.19	27.865000000000002
ENST00000417748.1	ENSG00000003402.19	4.895
ENST00000423241.6	ENSG00000003402.19	29.11
ENST00000425030.1	ENSG00000003402.19	7.37
ENST00000433445.1	ENSG00000003402.19	0.0
ENST00000439154.6	ENSG00000003402.19	0.99
ENST00000440180.5	ENSG00000003402.19	17.0
ENST00000441224.5	ENSG00000003402.19	0.18
ENST00000443227.5	ENSG00000003402.19	2.53
ENST00000457277.5	ENSG00000003402.19	25.814999999999998
ENST00000460961.1	ENSG00000003402.19	9.19
ENST00000461422.1	ENSG00000003402.19	0.54
ENST00000461820.5	ENSG00000003402.19	0.38
ENST00000462763.5	ENSG00000003402.19	0.23
ENST00000470178.6	ENSG00000003402.19	4.9399999999999995
ENST00000470664.1	ENSG00000003402.19	0.98
ENST00000474842.1	ENSG00000003402.19	4.77
ENST00000479953.6	ENSG00000003402.19	0.0
ENST00000490965.1	ENSG00000003402.19	16.65
ENST00000494258.5	ENSG00000003402.19	10.114999999999998
ENST00000233156.8	ENSG00000003436.15	26.415
ENST00000339091.8	ENSG00000003436.15	23.005000000000003
ENST00000392365.5	ENSG00000003436.15	40.15
ENST00000409676.5	ENSG00000003436.15	1.045
ENST00000417013.5	ENSG00000003436.15	4.24
ENST00000420747.1	ENSG00000003436.15	1.94
ENST00000421427.5	ENSG00000003436.15	0.18
ENST00000435414.5	ENSG00000003436.15	1.19
ENST00000437725.5	ENSG00000003436.15	1.0550000000000002
ENST00000453013.5	ENSG00000003436.15	23.0
ENST00000481132.5	ENSG00000003436.15	1.35
ENST00000481389.1	ENSG00000003436.15	0.49
ENST00000002125.8	ENSG00000003509.15	12.79
ENST00000336237.10	ENSG00000003509.15	1.53
ENST00000416653.5	ENSG00000003509.15	1.8
ENST00000419278.2	ENSG00000003509.15	7.19
ENST00000431821.5	ENSG00000003509.15	0.0
ENST00000432075.1	ENSG00000003509.15	0.0
ENST00000439218.5	ENSG00000003509.15	18.72
ENST00000441905.1	ENSG00000003509.15	23.35
ENST00000455230.5	ENSG00000003509.15	5.85
ENST00000469831.1	ENSG00000003509.15	7.24
ENST00000474154.5	ENSG00000003509.15	2.43
ENST00000474257.5	ENSG00000003509.15	16.08
ENST00000483999.5	ENSG00000003509.15	0.31
ENST00000347869.7	ENSG00000003756.16	91.515
ENST00000395174.6	ENSG00000003756.16	5.98
ENST00000404526.6	ENSG00000003756.16	0.0
ENST00000417905.1	ENSG00000003756.16	0.5549999999999999
ENST00000433556.6	ENSG00000003756.16	0.215
ENST00000437500.5	ENSG00000003756.16	0.69
ENST00000438369.5	ENSG00000003756.16	0.0
ENST00000441305.5	ENSG00000003756.16	0.37
ENST00000441812.6	ENSG00000003756.16	12.94
ENST00000461242.1	ENSG00000003756.16	2.92
ENST00000462025.1	ENSG00000003756.16	4.83
ENST00000464087.6	ENSG00000003756.16	24.86
ENST00000464988.1	ENSG00000003756.16	18.18
ENST00000469838.5	ENSG00000003756.16	25.01
ENST00000471995.5	ENSG00000003756.16	9.0
ENST00000474470.1	ENSG00000003756.16	0.84
ENST00000474818.5	ENSG00000003756.16	2.465
ENST00000475128.5	ENSG00000003756.16	20.0
ENST00000475590.5	ENSG00000003756.16	24.24
ENST00000479275.1	ENSG00000003756.16	2.56
ENST00000489437.1	ENSG00000003756.16	4.14
ENST00000492430.1	ENSG00000003756.16	0.99
ENST00000492472.1	ENSG00000003756.16	1.14
ENST00000493993.1	ENSG00000003756.16	2.42
ENST00000494360.5	ENSG00000003756.16	3.49
ENST00000496179.5	ENSG00000003756.16	25.37
ENST00000180173.9	ENSG00000003987.13	6.91
ENST00000517317.5	ENSG00000003987.13	0.0
ENST00000518272.5	ENSG00000003987.13	0.18
ENST00000519122.5	ENSG00000003987.13	0.17
ENST00000519590.5	ENSG00000003987.13	0.0
ENST00000519763.1	ENSG00000003987.13	0.0
ENST00000521177.1	ENSG00000003987.13	0.1
ENST00000521857.5	ENSG00000003987.13	0.64
ENST00000523571.1	ENSG00000003987.13	0.0
ENST00000004531.14	ENSG00000003989.17	10.415
ENST00000398090.3	ENSG00000003989.17	31.22
ENST00000470360.5	ENSG00000003989.17	0.0
ENST00000494857.5	ENSG00000003989.17	46.364999999999995
ENST00000522656.5	ENSG00000003989.17	0.69
ENST00000640220.1	ENSG00000003989.17	0.0
ENST00000000233.9	ENSG00000004059.10	157.1
ENST00000415666.1	ENSG00000004059.10	0.61
ENST00000459680.1	ENSG00000004059.10	0.67
ENST00000463733.5	ENSG00000004059.10	26.79
ENST00000467281.5	ENSG00000004059.10	1.29
ENST00000489673.1	ENSG00000004059.10	23.465
ENST00000379061.8	ENSG00000004139.13	0.795
ENST00000577870.2	ENSG00000004139.13	1.89
ENST00000578128.5	ENSG00000004139.13	1.5950000000000002
ENST00000579593.1	ENSG00000004139.13	0.0
ENST00000580711.1	ENSG00000004139.13	1.91
ENST00000582323.1	ENSG00000004139.13	0.0
ENST00000585453.5	ENSG00000004139.13	7.74
ENST00000585482.5	ENSG00000004139.13	5.04
ENST00000540200.5	ENSG00000004142.11	116.9
ENST00000618887.2	ENSG00000004142.11	2.56
ENST00000324093.8	ENSG00000004399.12	27.15
ENST00000501038.6	ENSG00000004399.12	9.36
ENST00000503166.1	ENSG00000004399.12	3.78
ENST00000504524.5	ENSG00000004399.12	47.705
ENST00000504689.1	ENSG00000004399.12	2.31
ENST00000504767.5	ENSG00000004399.12	3.94
ENST00000504979.1	ENSG00000004399.12	7.92
ENST00000505237.2	ENSG00000004399.12	0.45
ENST00000505505.1	ENSG00000004399.12	0.36
ENST00000505665.5	ENSG00000004399.12	0.0
ENST00000506979.1	ENSG00000004399.12	27.855
ENST00000508630.1	ENSG00000004399.12	15.95
ENST00000511018.1	ENSG00000004399.12	3.75
ENST00000512744.5	ENSG00000004399.12	17.415
ENST00000512807.1	ENSG00000004399.12	13.95
ENST00000514990.1	ENSG00000004399.12	7.885
ENST00000515191.1	ENSG00000004399.12	1.04
ENST00000354858.10	ENSG00000004455.16	57.95
ENST00000373449.6	ENSG00000004455.16	27.49
ENST00000466029.1	ENSG00000004455.16	0.0
ENST00000467905.5	ENSG00000004455.16	0.48
ENST00000469238.1	ENSG00000004455.16	3.09
ENST00000480134.5	ENSG00000004455.16	11.98
ENST00000482191.1	ENSG00000004455.16	10.97
ENST00000487289.1	ENSG00000004455.16	0.715
ENST00000491241.1	ENSG00000004455.16	5.39
ENST00000548033.5	ENSG00000004455.16	1.87
ENST00000548559.1	ENSG00000004455.16	0.73
ENST00000550338.5	ENSG00000004455.16	12.47
ENST00000551979.1	ENSG00000004455.16	0.53
ENST00000626911.1	ENSG00000004455.16	3.23
ENST00000629371.2	ENSG00000004455.16	0.67
ENST00000226279.7	ENSG00000004468.12	11.03
ENST00000502843.5	ENSG00000004468.12	4.67
ENST00000506191.1	ENSG00000004468.12	0.0
ENST00000510674.1	ENSG00000004468.12	2.34
ENST00000511430.1	ENSG00000004468.12	1.8
ENST00000001008.5	ENSG00000004478.7	57.79
ENST00000538622.1	ENSG00000004478.7	8.98
ENST00000539181.1	ENSG00000004478.7	0.0
ENST00000540260.1	ENSG00000004478.7	4.16
ENST00000543037.1	ENSG00000004478.7	9.64
ENST00000543769.1	ENSG00000004478.7	1.2
ENST00000544366.1	ENSG00000004478.7	0.92
ENST00000630279.1	ENSG00000004478.7	0.0
ENST00000356634.7	ENSG00000004487.15	72.43
ENST00000400181.8	ENSG00000004487.15	24.21
ENST00000465864.1	ENSG00000004487.15	2.1
ENST00000481879.1	ENSG00000004487.15	0.12
ENST00000494920.1	ENSG00000004487.15	16.03
ENST00000602503.1	ENSG00000004487.15	10.48
ENST00000266022.8	ENSG00000004534.14	15.26
ENST00000419610.5	ENSG00000004534.14	13.27
ENST00000421682.1	ENSG00000004534.14	25.1
ENST00000422955.5	ENSG00000004534.14	33.04
ENST00000425608.5	ENSG00000004534.14	19.53
ENST00000433811.1	ENSG00000004534.14	1.12
ENST00000434592.5	ENSG00000004534.14	0.16
ENST00000438912.1	ENSG00000004534.14	1.0
ENST00000441115.5	ENSG00000004534.14	0.97
ENST00000442092.5	ENSG00000004534.14	26.07
ENST00000443081.5	ENSG00000004534.14	0.0
ENST00000446471.1	ENSG00000004534.14	11.65
ENST00000454079.5	ENSG00000004534.14	55.06
ENST00000464013.5	ENSG00000004534.14	0.0
ENST00000466247.1	ENSG00000004534.14	0.49
ENST00000478026.1	ENSG00000004534.14	9.06
ENST00000483350.1	ENSG00000004534.14	6.46
ENST00000488807.2	ENSG00000004534.14	0.0
ENST00000491874.5	ENSG00000004534.14	0.0
ENST00000493652.1	ENSG00000004534.14	1.19
ENST00000158166.5	ENSG00000004660.14	2.17
ENST00000348335.6	ENSG00000004660.14	10.05
ENST00000381769.6	ENSG00000004660.14	15.094999999999999
ENST00000573483.1	ENSG00000004660.14	0.79
ENST00000314748.10	ENSG00000004700.15	0.67
ENST00000396093.7	ENSG00000004700.15	0.81
ENST00000421138.6	ENSG00000004700.15	3.0149999999999997
ENST00000444129.6	ENSG00000004700.15	15.74
ENST00000536240.5	ENSG00000004700.15	0.51
ENST00000536964.5	ENSG00000004700.15	0.72
